ANTIEMETICS AND ANTINAUSEANTS
DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
5956
ANTITHROMBOTIC AGENTS
855499
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
203128
1594589
235379
897745
ANXIOLYTICS
483017
ANTIVARICOSE THERAPY
ANTISEPTICS AND DISINFECTANTS
238084
1116294
4955
52356
11295
ANTIMYCOTICS FOR SYSTEMIC USE
203184
diastolic_Prehypertension
828350
1608253
207290
244309
"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
1049640
876690
104095
"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
OTHER CARDIAC PREPARATIONS
344
206821
1360201
1359859
2003
5699
obesity
ANTIMIGRAINE PREPARATIONS
HORMONES AND RELATED AGENTS
209468
SULFONAMIDES AND TRIMETHOPRIM
IRON PREPARATIONS
ESTROGENS
13271
ANTIPSYCHOTICS
2402
1358765
PROPULSIVES
311668
"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
MEDICATED DRESSINGS
1367439
8485
856903
1843
"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12"
VITAMIN B12 AND FOLIC ACID
OTHER PLAIN VITAMIN PREPARATIONS
"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
OTHER OPHTHALMOLOGICALS
CALCIUM
"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
PROTECTIVES AGAINST UV-RADIATION
608652
"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
209397
CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
MYDRIATICS AND CYCLOPLEGICS
DECONGESTANTS AND ANTIALLERGICS
4009337
CICATRIZANTS
4009521
1944543
1872752
847630
804186
351100
731383
ALL OTHER THERAPEUTIC PRODUCTS
1302279
1872920
904415
857635
1737569
1299889
1735003
2474267
"DIGESTIVES, INCL. ENZYMES"
DIRECT ACTING ANTIVIRALS
13276
25898
ANTIPROPULSIVES
351223
858052
858054
OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
2554
1099870
2555
1048
213155
6553
2615
895999
1872269
1724644
HYPNOTICS AND SEDATIVES
860114
1314133
1666800
861482
1359743
1665679
1190795
2168270
894914
105899
"LIPID MODIFYING AGENTS, PLAIN"
BETA BLOCKING AGENTS
795737
215
1536586
"ANGIOTENSIN II ANTAGONISTS, PLAIN"
"LOW-CEILING DIURETICS, THIAZIDES"
VITAMIN K AND OTHER HEMOSTATICS
ANTIGLAUCOMA PREPARATIONS AND MIOTICS
4014794
104155
4027590
854830
282725
1613
420222
4014639
4007154
27818
4035201
2156
485032
836343
28715
OTHER ANTINEOPLASTIC AGENTS
311359
27565
7824
4278
847627
1012688
107602
804183
1427073
UTEROTONICS
311034
238720
996828
1232651
8164
1724784
238014
1728999
198191
1250265
259611
30236
314216
1728783
4038443
4033089
4031923
4008894
4015492
11732
4030180
1658264
1190793
1866543
1117570
904782
1656670
1116183
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
THYROID PREPARATIONS
1010654
835605
857118
3410
597730
744842
317150
8484
5939
876866
995872
5295
4033621
"ACE INHIBITORS, PLAIN"
1100702
4025211
INSULINS AND ANALOGUES
IMMUNOSUPPRESSANTS
HIGH-CEILING DIURETICS
ANTINEMATODAL AGENTS
5985
4029929
639566
26552
197832
403908
199058
ANTIPSORIATICS FOR TOPICAL USE
1716215
1799654
241999
311041
1603845
1603840
1940709
4025212
DRUGS FOR TREATMENT OF LEPRA
"LOW-CEILING DIURETICS, EXCL. THIAZIDES"
1716219
IMMUNOSTIMULANTS
1657069
"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
313072
diastolic_Hypertension_stage_2
systolic_Hypertension_stage_2
1795515
1992169
GLYCOGENOLYTIC HORMONES
1795610
1807634
1038787
751885
25517
308212
systolic_Hypertension_stage_1
4038836
607038
4036943
855336
259233
484322
4026668
4014953
4029209
4038828
795735
847917
4031946
4013510
1232086
308762
4008950
5208
4008346
4032023
4031414
2617
070184
4038833
855300
311028
4033294
4013511
1949
587
diastolic_Hypertension_stage_1
240128
2335
1037183
2992
2563007
802792
1099569
995232
7050
1360074
ANTICHOLINERGIC AGENTS
197362
145
1510
895671
1509
197889
859975
899485
POSTERIOR PITUITARY LOBE HORMONES
824586
1374744
745679
895994
314087
89905
ANTIFIBRINOLYTICS
801092
1100066
1745091
198806
846127
312191
2072
5218
347690
6695
579907
810000
1246319
2272636
007334
2147
809987
705610
2480
2005
9068
763308
834042
4008699
4010459
1860100
POTASSIUM-SPARING AGENTS
2123072
309783
27729
313812
7508
66955
238755
3320
1795621
1658259
1807508
1433873
1747691
2890
276237
2558
5701
4030323
4012609
4009814
underweight
1807639
1665052
1358762
1119573
2180406
4014487
31009
4008015
ANTIGOUT PREPARATIONS
833213
203177
3565
2418
1722919
866508
312507
895216
11417
781
ANDROGENS
4001117
4350
4008082
6064
4029644
4026903
4031869
105898
212339
857004
4007180
1725059
4007836
4009551
4031740
1298088
197891
1360304
4027283
861476
238175
1666798
ANTIFUNGALS FOR SYSTEMIC USE
ANTIMALARIALS
452
4009936
"BELLADONNA AND DERIVATIVES, PLAIN"
2991
2229
5492
896781
209177
1191228
897630
4026400
1297278
5656
2912
459
8276
3390
748368
721793
721795
998430
312773
198852
856664
7183
1012404
CARDIAC GLYCOSIDES
1245373
308971
462
993856
1545658
860113
237982
90650
847230
86009
897122
1734
8640
849115
706868
142004
1788984
876195
13279
1745061
1359363
2117610
1738139
207016
824194
836286
2123111
861417
1729197
1807628
892582
476362
998212
1482525
892672
828362
897756
1092428
3890
746763
702050
4008089
6506
596932
849452
104896
854882
861670
2178789
1099678
104728
103570
834135
1737758
OTHER NUTRIENTS
1795480
7804
854236
311700
204508
6387
6130
2284718
3423
282485
903859
1718909
2106884
1433251
1304503
197454
240707
7530
4988
198148
13
006702
1092456
688892
4031241
14895
15730
3489
4027927
1840
1243769
1867594
4013310
763185
1666
4005735
4008837
4012703
1049184
1101525
4187
211482
13244
4007158
4030542
4015287
6281
"ANESTHETICS, GENERAL"
1649485
1364447
24909
24947
16384
25190
IMMUNOGLOBULINS
701984
477589
1539757
PERIPHERAL VASODILATORS
HORMONE ANTAGONISTS AND RELATED AGENTS
801095
312406
71227
6809
7417
8183
235743
114477
2401
216554
313532
763183
1359779
2631
309509
VASODILATORS USED IN CARDIAC DISEASES
966191
313393
313387
313391
1732006
284548
1084
836397
211190
995280
261315
1299137
1049529
209283
404630
209977
991088
197856
4025427
2061
1310202
DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
402010
2557
402011
4035227
2177495
1359861
1300205
463
198193
238135
351926
4009638
4032681
213469
11247
762893
885508
744846
900577
860115
476556
91299
351254
235496
6460
5077
24501
25580
1086780
4006835
3988
"ECTOPARASITICIDES, INCL. SCABICIDES"
1236207
15843
5116
4010305
8881
15063
1734203
284550
311683
607033
1049574
1049593
6373
I.V. SOLUTIONS
EMOLLIENTS AND PROTECTIVES
1047
1052658
351136
1579
8370
833147
4032532
351137
1099563
1099625
621590
593411
5966
727972
1360147
665042
727967
727970
1191
284640
11413
7812
18631
1000987
68244
214671
260493
106101
85762
238994
4821
195088
1536
200060
4009222
404280
1522
108513
197661
242706
1807
212219
2587
ANTI-PARATHYROID AGENTS
1038810
1837
213344
2586
007076
2425
1298326
404318
14885
4025972
1876406
753479
352085
1293665
543460
1511
1950
13204
7205
5557
17133
4001031
1047041
4027611
1149667
213262
4029936
4038830
4026401
2381
4012845
1304985
384410
2180411
1482913
640062
886622
6585
1658262
578803
"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
2202
5703
209433
1483340
1247877
1421151
309336
11636
245473
310879
1120068
757665
309710
4033906
1248017
995680
1049623
1116351
209425
1247189
207315
311670
209431
834137
1190776
727619
105028
BILE THERAPY
1234256
2477889
1796730
1191222
897753
1242503
1190546
1092422
1248148
210117
2171002
197596
883726
310026
724590
1362049
1247406
1101775
008588
647416
540930
1101778
8376
1043753
208331
331
3154
4010507
727821
261178
3164
637190
DOPAMINERGIC AGENTS
1734483
32521
807277
5775
4850
995255
885207
763028
1807459
284509
207108
209597
285127
1795481
312674
7512
1375985
905191
4038841
315187
3083
242754
4039005
1424
995270
1728802
208463
1795514
1737245
748748
2377231
861008
847232
7127
4014612
4008875
360177
1298199
4016233
751623
856907
ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
1612
309541
311048
896771
1665060
1012377
238082
1235247
1431235
1300803
834167
007364
4013962
4002157
4002903
BACTERIAL VACCINES
1053429
4016636
3422
1086767
197507
1116635
854834
835913
6519
2937
804973
197405
896185
261136
834023
208365
750149
208451
1364445
1551295
1040041
2065
211947
1255
311382
1100471
4038506
1486801
31782
1652084
4015978
4028702
3275
994237
1657160
4008098
859753
5986
238134
1089053
451
4009920
4307
4002562
860088
727339
26261
7128
312424
404444
8262
4000846
1658319
90176
312033
1358763
204534
403875
197662
4007759
4032301
4008648
25379
4008693
403849
977942
4037500
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
1547582
727705
921
2071
16540
913
1743726
762333
26541
461
1090078
4009729
2728
329
1239
1188426
4029944
892477
308461
580261
896229
1291312
402097
1246315
861771
213271
1550940
859749
1426
2392
486515
198857
006283
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
199739
5431
4008232
311498
010463
4009865
4026085
753478
4001038
3478
1989
307764
11256
485968
6750
1544918
824574
606
9126
9001
799047
1307633
544643
ANTIMETABOLITES
5971
34322
1870650
142440
582926
1049580
617954
4009503
29539
4008992
4012047
8163
6711
1037179
308071
313414
104895
858838
212233
803350
9125
1360200
1359858
854838
854842
854846
855205
25242
6469
4010304
3420
4009491
4658
4010303
4035417
5547
4008932
4002412
4015903
359751
1948
4595
4007827
4010179
4002561
5681
6680
4032970
4008951
202098
205604
854878
1374747
245208
5852
995686
284400
4033186
3404
4026223
4673
4001164
6589
4003781
4016910
4009035
4002898
4008748
4009138
011186
4002413
002188
008690
745791
4014859
6925
4005593
69
2522
8275
308761
858056
6438
1010745
310132
313124
57789
82122
665078
10761
1113023
4032611
1037045
1114195
4500
1359984
3470
3469
884532
1236666
283100
1246288
476679
896021
896186
643066
636671
1439812
4008446
833144
312398
022100
4010105
203203
207107
1248037
895989
849438
857117
212448
1000124
352277
858040
4033231
284591
857107
1358610
866429
1040031
833204
2193
1863605
858821
1659260
1729205
1659151
1659139
403890
1798389
894912
1666781
615107
992858
861529
1659263
1661432
1111170
1191513
1731993
1598322
1860466
1735004
1872443
582119
1807630
1860241
1872384
1737563
1735058
1735013
209375
2121591
208330
1360949
1661812
1735006
597959
1246316
1190220
214199
3400
4014116
1428933
6228
198159
203211
1654169
1117
242297
198624
1729200
1358125
1085752
1743855
857534
4004
4031765
4030090
4008047
4005751
1248013
249066
4026025
198496
343033
5700
4396
3242
5298
855495
1000128
665036
1486977
1486981
1243833
1593833
1601091
1602115
861821
1243846
4014952
196479
203189
2003714
7052
1807632
161
382467
727527
835903
562730
105669
281
2471089
1723776
309938
1807631
3498
435
260101
142153
6902
300195
7213
664743
647295
745682
1008145
198063
895200
307782
1234290
1234291
2003715
495430
1807633
311777
804982
214183
197620
58917
259275
343047
1362
747260
2320
2326
2189
1736541
858599
1736546
1860239
1428987
854977
727575
979432
4177
905377
308891
828529
828525
10528
242969
1718760
1868494
859437
1362935
203192
237205
1796672
313578
480
240793
858607
858603
4010082
880407
466584
198190
209495
4004362
916
12688
8249
880353
315170
4013082
197890
001164
836268
4035007
4015932
212575
207212
153008
4002929
4026092
4527
751616
41144
141927
876693
1190641
206726
207685
213295
5459
PARASYMPATHOMIMETICS
DRUGS FOR TREATMENT OF TUBERCULOSIS
5397
3283
4001152
4013958
3104
1738
4024741
1116639
5363
1806195
4031870
1482533
727703
4015340
37801
824338
644682
2623
460132
11124
1442790
235838
351360
308711
1737570
311570
1150114
1514
1098193
1247659
1100193
814394
1007039
643075
1359269
141928
896031
863671
1737761
1653204
1551300
706544
1791721
1668240
578806
212549
1795250
207772
93253
8340
1358780
194
1600704
309371
828539
200251
427163
1551993
460
809996
243670
108782
105018
153639
153640
1099596
40144
238083
91185
105069
5924
349279
214182
10829
10180
6470
5489
10831
4003069
402092
4002156
11397
107129
884187
729929
884175
213199
261134
992671
1721613
31282
5561
4031475
810071
7100
4033299
4015763
992775
211194
213158
17762
4009036
1728803
1246066
208187
311033
1020023
903
856935
1235867
762007
476973
007544
4017180
4014985
4009858
746812
1246311
197892
4001858
4015646
4005838
4005502
4009495
1370205
4007177
2069
2391
2931
1724276
1795616
2117608
998213
753481
900038
979543
1294545
993564
200801
2055989
5563
197595
307696
283219
4033207
6286
4009741
642346
1101914
152698
351906
1991306
1660934
2055760
1360509
56466
349275
213442
4032184
4030630
670026
1431286
564
2925
8322
897698
311027
352125
866510
104490
211832
1086776
1010759
1519
1741905
206988
1020479
1088531
731381
484925
1037185
855944
665033
3084
1243842
904170
117
7204
1148797
810079
914
798428
798479
4015959
4010330
6547
1356074
208328
880853
198683
259111
212390
1797935
617320
1010844
828269
1429570
1423270
1331
351297
13273
724863
1111641
309684
562411
4001204
4030703
4024698
4009515
996026
4030538
4032825
207014
827189
856942
1099626
828536
1670366
6850
1011854
1012583
855659
209443
1797059
1090577
606728
991063
1303840
313724
1592257
238747
284910
10582
1372638
284992
1546438
35629
203148
2119176
1666777
8591
2559907
1808224
1008377
998211
1901
114202
26225
314097
855200
1991302
203214
3355
854790
854753
1991307
545109
1991311
25357
2553502
35825
2553506
692792
2362247
4986
896854
753987
896856
389216
753990
854756
854757
259264
2043695
854787
854752
604374
6383
4083
187220
1361563
584600
227518
2043694
562827
1550045
1361572
202637
50121
746195
896321
41126
310403
896324
1926456
727765
727634
1807646
792033
1242215
25483
792030
727822
197733
859203
792032
804981
727764
88249
115713
860796
3254
860801
18603
866919
249221
235824
867445
1361009
1098334
1359588
1737763
317567
727606
692623
68173
692620
1300701
1300712
1300706
1441382
2587753
1310844
28889
11253
81981
203150
900373
20610
1014675
1808225
1012068
1263
3203
13286
1737759
2043465
2397128
310014
1243041
392491
1374570
707329
1807510
4001834
5432
1549356
4017305
310374
309047
4036317
4036035
763181
197502
702316
5725
1047040
1592255
1049502
8928
198444
39954
389221
4026023
4015502
1246304
1190433
1101840
209169
1593756
213468
208450
866096
857007
992457
859088
1243843
4030823
313967
753557
203136
861463
349480
865098
897624
402096
853260
898316
897584
5082
903849
466426
1362706
1362830
311286
1362712
1789947
1302827
1302839
226827
1359714
996462
1876
1360404
1740
2481
2107353
1873757
1359546
1049900
892574
105029
198146
896004
966185
864110
1297359
749785
820
1059
750268
4004859
1359022
1191508
861473
5984
312362
310183
150840
310197
688240
14870
885568
1248
1010296
2725
24662
8222
8768
4001150
27560
483325
1294024
205228
ANTI-DEMENTIA DRUGS
7061
4098
029927
4146
2006
1360402
1809905
4013614
4031704
905208
802795
1810304
993545
877408
1551306
1049606
1247759
1149
858042
3150
1725078
966522
1246314
242946
861769
1373463
1797847
4437
4038827
1099571
104701
104700
1495474
833143
8359
4016316
198603
6221
15228
4015980
4003000
1313818
4015174
917
4984
149
26709
3460
4956
2690
855342
855348
207265
284497
1274
1049670
689519
2192
751890
1807548
1992171
1737579
206765
311144
315090
1310621
206819
1728785
4015979
4027242
4009441
4013794
6984
1743779
992675
104849
153666
866438
69120
901484
1536148
352086
19831
4002554
4017378
4007685
4008436
1425230
854850
5074
4010608
763179
1190225
854875
284544
213339
992440
1000145
1257
1310212
213272
4301
209360
1863607
885257
1737850
213390
830457
89886
861844
860109
197893
311355
1547104
349462
486501
1309239
67158
411877
1099565
1099679
4005766
5968
237735
966413
840781
3162
9601
607026
863968
1798
3163
830872
1305214
477336
435020
327361
1538137
1811255
853355
896161
1011849
024665
4005311
308668
311936
644088
856467
4015481
200998
2473
308508
2052064
2716
863852
1667660
2601764
1356574
1797890
195
31784
1359030
1359025
1000913
4016006
831576
351291
359297
4035470
4027521
4027139
4031310
1091828
1921245
1745
1488047
701858
4014211
3351
9789
53616
1797888
1307419
1099
5370
2913
3503
978950
4444
1724338
429662
207141
358299
34372
1596450
8638
343019
1870193
1306286
1721612
1721603
1306284
23663
3640
2572292
3008
3826
15212
DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
1736863
847189
1049642
866214
1043479
4810
64
207193
208416
200809
751868
1806177
966247
312570
806392
1660014
1649560
104378
10046
4002116
729932
855334
102250
1291380
1734478
1734356
1739803
844379
966250
4017017
5462
3147
5464
ANTITHYROID PREPARATIONS
731567
731570
313137
901640
142432
730781
1193362
1649944
1721684
991065
1602109
4008688
4035514
864131
6990
4034862
4034556
554
992765
854981
3571
1673280
1372891
1426293
1293651
828367
665040
203130
7531
4419
313713
2053495
1249797
1539373
1249796
604392
ALKYLATING AGENTS
37776
142445
19860
312664
214178
8745
231049
360288
2198973
221095
67108
38404
211151
4000969
1235591
4034546
1242968
1741264
14877
3490
1310270
847239
847915
1795346
207048
012060
4832
25480
237648
253170
203172
4603
253191
253058
82084
1360256
1795477
2054166
349730
1742404
1741570
82003
40790
727977
20489
283517
8787
312686
47835
1741375
56161
36387
1008704
37418
2589006
1741261
1008340
1741380
309093
203160
238643
9997
1742406
727974
727981
1741270
10156
311380
274783
52175
252166
727979
1741267
309091
1234224
1233922
310914
763043
198061
1233904
1724383
221147
9877
1192498
215451
849776
846110
392676
235473
4511
6218
846114
5224
82063
314659
638596
4337
1247661
1735007
197994
1871434
2282314
2282320
2282313
88014
237082
2282307
29046
665044
4124
31994
748794
214559
1741268
2434
3756
1597103
308078
6526
727345
39993
221183
313779
313442
10689
41493
313780
82110
6135
4026024
1294025
1087030
002470
6458
005125
005124
3050
105398
205712
1113313
310027
1806183
617302
4885
1437739
1370752
206997
1870205
212446
27457
212306
2047642
1111265
1111261
1791840
1300377
8748
1001689
1041520
8641
206812
995264
213695
152923
772
6574
382272
4033614
198946
004490
31989
727137
35827
3322
282457
1732014
860096
28200
5487
21949
36567
52101
197792
1243827
7646
7715
312113
301542
142442
562028
994541
312112
7716
7258
323828
729717
187832
358363
1233854
897757
1358325
4018
901040
1233857
763044
315122
1233664
5640
4815
1732007
749761
855928
828322
1049108
995668
4002556
1495092
1487251
211176
1876502
206159
995283
993511
616489
4005281
29950
4033290
4035655
4027331
4008048
4005466
4026049
4808
6283
4026906
4015107
2058877
1291085
4027424
4011970
4036437
1049584
200321
860192
4005035
008039
1362060
8410
2709
1424895
1653243
1048969
422410
4005587
002947
ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
404065
403930
352272
866406
198555
1291276
1358617
1246673
4008434
4007167
7513
1307409
1469
207275
1232082
4038840
795705
311502
886627
1301237
2712
198520
705895
4004365
2045627
063380
284481
966542
198632
857677
2000127
864769
897761
580285
312107
1652104
358255
4011556
4032257
209884
1044524
6282
1087167
1044532
29698
309682
1999
10154
905181
150985
204562
835877
1234295
1150122
1192656
1100208
317131
1360531
314212
1314673
68139
2198974
1235036
317118
1098856
1594598
797224
727652
3992
1234300
904810
1150121
238179
206977
1735008
763037
1734347
203171
35780
1299777
2397714
4716
1192652
1314674
313929
1734355
236539
168
2180
1250106
1300443
1233806
1150120
1734207
238008
59943
6691
1000112
31983
7514
312031
815276
1433868
36676
899221
857044
36721
310896
1433874
323726
27197
800904
041384
1734204
5754
6316
4008617
1808220
1998624
797730
826081
692578
307684
861583
1807552
1246317
5619
859983
757669
8078
233603
1012384
312539
1426874
197382
725068
systolic_Hypertension_crisis
762334
707359
1654862
882548
858062
1364435
884191
207678
2117609
1741766
1722107
108758
262091
207112
4039067
197409
727759
381
857461
4013176
diastolic_Hypertension_crisis
1794554
308084
1812095
992456
1724668
1359660
1359816
3107
993804
142002
1946519
1052612
4010293
4009504
4027520
754506
754504
16320
207346
14
197579
7076
314267
897612
897618
7212
1100191
4008615
209361
2178093
24685
753482
1539893
1087463
804544
206160
213345
827654
3166
1300791
1359560
3593
2056
1049156
1087285
860749
1086784
2441
4025750
4039006
1742
731328
309305
283753
1790344
1361048
637543
PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
1191138
1657862
1649963
1952
1117765
4919
4920
4026581
313800
308905
260265
858036
805370
1037049
204
14563
1797898
3504
283012
1114883
2685
1551304
1337
1339
029928
1099598
995156
999961
763306
5470
565
856422
008182
404064
15516
1099648
855911
82806
351855
19134
4013914
866653
29575
5093
312484
259342
21406
11416
259753
1364454
94
1088796
236782
3143
2055815
790290
28127
1177
1591943
1418
12778
1099871
2717
746645
829734
745302
637551
894893
338036
2468235
861383
1731077
1791588
979113
727539
7053
1336
864978
1362063
403886
1741753
397405
1807636
1601995
594040
1223
807169
283742
6915
1795609
1807648
1741754
309778
1362057
283562
1359733
1795607
267036
1795618
403811
313842
1362059
1658719
3500
1661424
1362061
70561
308056
1362062
311379
314073
166283
8686
1605064
68442
240449
20791
309186
2358
834198
310794
214619
597400
861470
2539186
6754
311528
103755
1665697
310802
979494
311282
1172
1795254
1860482
1731082
979482
1795608
8195
466588
1147334
150750
797541
4038826
1442128
746815
8466
26776
198102
616447
7186
312563
4034633
7112
4009597
157
1551468
5428
4014164
1665105
271
1000154
4008476
153638
859005
1665095
11118
753350
1656648
861597
3339
237656
3081
1245376
4037751
5035
866086
1738806
359383
855174
1198
749289
4038444
848144
849612
977992
686926
1652640
966218
1751
1790527
897126
198893
1359023
476250
540629
72625
578712
1009464
252584
583248
4936
1991317
238019
1545666
1670011
1551291
1652646
876551
1360030
1360438
4005499
4008296
2391536
348869
3067
857111
3048
4025840
2186
1876135
1876137
349273
798426
242761
1876127
1738586
107047
253182
1908
1716217
2053927
1488818
349274
731181
477347
1657073
731167
830261
1099804
731176
1190112
1734090
1716209
833164
1234512
242927
607999
2180666
104699
105602
664981
310323
825170
859981
1046999
1114466
1654006
1540361
40
901478
310142
199676
203204
18993
2556
42347
48203
723
19711
221078
484425
4004064
861493
1727000
103943
1300189
1047508
2001439
197583
1098351
1052633
731573
1013662
1049620
1490057
1010846
207287
104376
1246313
2563976
1795344
861617
22649
1536833
197580
152970
207391
857120
240812
1050077
1836
3406
1161
1482820
669
896112
905189
646132
901610
1897
798477
643
1114198
1655928
1010298
205732
688880
891438
200176
5509
659476
853202
121191
1043582
1043567
1243026
898697
617318
1043570
309329
5766
3361
152021
197598
321952
833172
28031
198080
1094364
4450
8120
203197
219789
211724
404317
6845
315191
91168
542872
8896
4462
1307404
197633
1876380
23665
OTHER NERVOUS SYSTEM DRUGS
1012895
1795345
1541594
476677
1424889
795709
1658222
201848
206878
1046771
800915
668538
1534809
1096
847241
285018
108514
998282
808917
141962
27653
1489762
1804799
2177498
8091
244638
6168
4005033
3276
6975
1907
1807546
1659600
206766
1360016
1807551
8290
857099
209011
855298
992757
309714
4967
211189
1538595
904440
1087262
583527
309115
835715
1986825
352148
200017
5078
8581
753457
636676
966171
1597130
313234
1735
835842
1876401
896190
1369791
1368863
3844
3502
977840
51428
615186
1741049
1799230
207716
351427
4012705
484348
4034236
4007762
4016637
847259
1049563
1052467
863850
1291383
104112
206764
541140
1718903
792577
213482
6880
2612
4282
4007866
834395
966210
349479
4007164
857886
235483
1007544
267366
48933
3264
309937
317216
42604
83947
52582
9796
1007494
351390
597808
861113
220181
1256
352982
519
2539191
861494
312666
978949
994203
22968
353484
596
1726846
1726844
153970
238211
1225
1742407
1435169
1037338
4025423
4031390
5079
197451
860996
684879
861635
997621
214003
4027728
4192
198464
630796
3829
204642
832
198405
313272
1361760
1658637
631
2834
213270
1000158
4035301
1243033
1670021
1869697
245265
211915
404711
1597075
1724340
617314
2180995
1093291
1797835
1245420
310942
153971
562565
203182
5553
1297882
57309
992421
152819
4028194
4015678
3889
598025
4017390
260040
762001
42892
359969
1421451
245723
1243493
731533
996288
830717
204754
1148595
1655726
197845
803371
206157
211322
351429
211979
899607
1014615
203212
1445143
899155
6918
727845
1233863
1726987
1309404
312523
1725702
1741420
49737
2107060
727574
1233860
3966
1234234
1815
1795252
1300442
1741423
267396
48937
829764
1726988
1725082
282472
203222
236741
727351
1719286
1741410
309055
309806
34316
1741403
283895
108190
1300441
727349
238644
2387078
282452
238166
1718906
2178759
317121
91166
203191
236058
1010598
1249681
238243
238246
979428
7242
312514
309698
1012425
1117535
1725696
1007065
20481
1860463
829762
228054
217807
1007748
56443
56476
236719
6579
